date,open,high,low,close,volume,return,sma_5,sma_10,sma_20,sma_50,rsi_14,macd,macd_signal,bb_mid,bb_upper,bb_lower,atr_14,vwap,rel_strength_qqq,regime,vol_spike,extreme_return,trend_up,trend_down,in_play_150,in_play_120,in_play_200,moon_phase,moon_phase_sin,moon_phase_cos
2005-06-24,119.88,120.0078125,118.84,118.98,59190900,-0.0073418988820289,120.656,120.857,120.5235,118.3148,39.80769230769227,0.5848444005809625,0.8677561321338021,120.5235,121.95388125208476,119.09311874791528,1.0648437500000014,117.68724000225568,3.2182850960238034,bull,0,0,0,1,0,1,0,94.88431549072266,0.9733150199294895,0.22947303105083494
2005-06-27,118.97,119.41,118.75,119.15,51164200,0.0014288115649689,120.206,120.714,120.4685,118.4148,40.71969696969707,0.433550044192529,0.7809149145455476,120.4685,122.02241898454392,118.91458101545604,1.02341517857143,117.70998118406708,3.237771739130435,bull,0,0,0,1,0,0,0,69.51556396484375,0.7937388766963994,-0.6082586584839857
2005-06-28,119.4,120.24,119.37,120.15,42617300,0.0083927822073017,119.942,120.643,120.502,118.5278,51.98019801980205,0.3898459183133553,0.7027011152991092,120.502,121.99383885118148,119.01016114881853,1.0355580357142864,117.74117474782854,3.234185733512786,bull,0,0,0,0,0,0,0,58.60732650756836,-0.09616782480708434,0.9953651337433284
2005-06-29,120.37,120.4,119.76,119.83,43059500,-0.0026633374947981,119.594,120.517,120.4685,118.6162,44.40619621342508,0.3256350399941965,0.6272879002381266,120.4685,121.9903171271282,118.94668287287178,0.9998437500000008,117.7678116187031,3.2327074565663105,bull,0,0,0,0,0,0,0,47.565025329589844,-0.6409789124605536,-0.7675584888338386
2005-06-30,120.22,120.32,118.95,119.18,62303700,-0.0054243511641491,119.458,120.295,120.3895,118.7238,41.747572815534,0.2197645793168732,0.545783236053876,120.3895,122.00853772590216,118.77046227409782,1.022700892857142,117.79339620141856,3.240348015225666,bull,0,0,0,1,0,1,0,36.932533264160156,0.9999909154038672,-0.0042625238692220865
2005-07-01,119.45,119.8,119.21,119.53,49786600,0.0029367343514012,119.568,120.112,120.3585,118.7942,41.46341463414635,0.1622334254606414,0.4690732739352291,120.3585,122.02003099975823,118.69696900024177,0.97627232142857,117.81817856893689,3.254731109598366,bull,0,0,0,1,0,0,0,27.150821685791016,-0.4848789873988256,0.8745812527027375
2005-07-05,119.43,120.65,119.19,120.49,51552100,0.0080314565381074,119.83599999999998,120.021,120.381,118.8926,47.29136163982427,0.1918915422346998,0.4136369275951232,120.381,122.03654761173958,118.72545238826044,1.0219866071428558,117.85708423934004,3.246833737537052,bull,0,0,1,0,0,0,0,2.271350622177124,0.464687782531535,0.885474598600053
2005-07-06,120.39,120.65,119.41,119.48,54070500,-0.0083824383766286,119.702,119.822,120.34850000000002,118.9556,39.42181340341652,0.1323713597387552,0.3573838140238496,120.34850000000002,122.0496856546476,118.64731434535244,1.0384151785714286,117.8814978892588,3.235310046033036,bull,0,0,0,1,0,0,0,0.41944244503974915,0.08912758304600701,0.9960202176363576
2005-07-07,118.28,119.95,118.26,119.95,103268900,0.0039337127552727,119.726,119.66,120.3505,119.0506,40.669240669240615,0.1217231100939386,0.3102516732378674,120.3505,122.04960781541983,118.65139218458016,1.1077008928571428,117.93926759783744,3.2366432811656773,bull,0,0,1,0,1,1,0,0.41913920640945435,0.08906331866110455,0.9960259661620627
2005-07-08,119.97,121.32,119.72,121.32,64550900,0.0114214255939975,120.154,119.806,120.3925,119.164,49.78021978021975,0.2212810556987676,0.2924575497300475,120.3925,122.14575111540933,118.63924888459071,1.1212723214285705,117.99727341710177,3.2120730738681487,bull,0,0,1,0,0,1,0,2.225719451904297,0.4560688728919088,0.8899444832005555
2005-07-11,121.33,122.1,121.31,121.94,49772400,0.0051104516979887,120.636,120.102,120.4795,119.3188,52.78925619834709,0.3462192631589715,0.3032098924158323,120.4795,122.36055765321976,118.59844234678025,1.1134151785714264,118.0487530970212,3.198845750262329,bull,0,0,1,0,0,0,0,17.4052791595459,-0.5326934646189885,-0.8463082610681634
2005-07-12,121.89,122.63,121.64,122.26,52169900,0.0026242414302115,120.99,120.41299999999998,120.5635,119.449,53.977844914400855,0.4656868699935046,0.3357052879313668,120.5635,122.60652433197758,118.52047566802244,1.1398437499999972,118.10560931072024,3.1921671018276765,bull,0,0,1,0,0,0,0,25.20023536682129,-0.7963623908260418,0.6048197603235452
2005-07-13,122.27,122.52,121.99,122.43,41297700,0.0013904793063961,121.58,120.641,120.642,119.5696,54.30000000000009,0.5675411275420146,0.3820724558534963,120.642,122.8472053252057,118.43679467479431,1.1155580357142827,118.15133719965269,3.189111747851003,bull,0,0,1,0,0,0,0,34.03891372680664,0.8188328947618104,0.5740319594377947
2005-07-14,122.91,123.44,122.49,122.91,64776100,0.0039206076941924,122.172,120.949,120.73300000000002,119.6958,67.3888255416192,0.6791643649086012,0.4414908376645173,120.73300000000002,123.15554411724531,118.31045588275472,1.061272321428568,118.22897726824787,3.1702347175651275,bull,0,0,1,0,0,0,0,43.680824279785156,0.13030835659646556,-0.9914735156327316
